title,description,tags
"Cisco NEW CCNA R/S (200-125): The Complete Course","This NEW CISCO course is all you need to prepare & pass Cisco's new CCNA R/S 200-125 certification exam","Cisco CCNA;Oracle Certification;AWS Certification;Salesforce Certification;ITIL Certification"
"Tech Explorations™ Arduino Step by Step Your complete guide","The original comprehensive course designed for new and intermediate-level Arduino Makers","Arduino"
"The Complete Ethical Hacking Course for 2016/2017!","Gain the knowledge hackers use to compromise systems and use it to protect your own!","Ethical Hacking;Embedded Systems"
"ISTQB Foundation Level Certification (CTFL)","An online course to Be an ISTQB certified tester and Learn the basics of Software testing principles and techniques","Oracle Certification;AWS Certification;Salesforce Certification;ITIL Certification;Online Business;Selenium Testing Framework;Unit Testing;API Testing;Penetration Testing"
"Data Structures & Algorithms - Interview !!","Graph videos are next. They will be live soon.","data structures;Algorithms"
"AWS Certified Solutions Architect (associate)","Study for and pass the AWS Solutions Architect Associate level exam","AWS Certification;Amazon AWS"
"Learn Advanced C++ Programming","Discover intermediate to advanced C++, including C++ 11's fantastic additions to the C++ standard.","C++"
"Windows Server 2012 System Administration: Get an IT Job!","Learn Systems Administration! The easiest way to stack your resume & get a high paying IT Job - Step-by-step guide!","Windows Server;SQL Server;Salesforce Administration;Linux Administration;Embedded Systems"
"AWS Certified Solutions Architect - Associate 2019","Master this AWS Certified Solutions Architect Associate Preparation Course- And Become AWS Subject Matter Expert (FEB18)","AWS Certification;Amazon AWS"
"Ermin Kreponic's Course for CentOS and Red Hat Linux - RHCSA","Learn the basics of CentOS and Red Hat Linux! Prepare and pass the Red Hat certified system administrator (RHCSA) exam!","CentOS;Kali Linux;Linux;Linux Administration"
"Linux for Beginners","An Introduction to the Linux Operating System and Command Line","Kali Linux;Linux;Linux Administration"
"Learning Windows PowerShell","A comprehensive guide to using Windows PowerShell for System Administrators","Machine Learning;Deep learning;Mathematics for Machine Learning;Windows Server;PowerShell"
"Blockchain ICO Course 2018: Invest in NextGen Cryptocurrency","How to discover & invest in ICOs that deliver the next generation of technology.","BlockChain"
"Learn Website Hacking / Penetration Testing From Scratch","Learn how to hack websites and web applications like black hat hackers, and learn how to secure them from these hackers.","Ethical Hacking;Penetration Testing;Selenium Testing Framework;Unit Testing;API Testing"
"CCNA Security 2018 210-260 Video Boot Camp With Chris Bryant","Join My CCNA Security Course While I'm Refreshing It And Get My CCNA 200-125 Course FREE!","Cisco CCNA;Cyber Security;Network Security"
"Informatica Tutorial: Beginner to Expert Level","Become an expert in world's top Data Integration tool.",""
"Complete Linux course: Become a Linux professional","Learn all the Linux skills that will get you a career as a professional Linux System Administrator","Kali Linux;Linux;Linux Administration"
"Agile Crash Course: Agile Project Management; Agile Delivery","Get Agile Certified & Learn about the key and most important concepts and tools of Agile Project Management (Scrum)","Database Management"
"The Complete Wireshark Course: Go from Beginner to Advanced!","Learn to use Wireshark as a networking professional including troubleshooting, analysis, and protocol development!","Wireshark;IT Networking Fundamentals"
"Ethereum : Decentralized Application Design & Development","Develop a full DAPP | ICO | Setup Private netwrk in next 2 weeks using Web3J, TruffleV4, MetaMask, Ganache, Solidity +++",""
"Microsoft Windows Server 2016 Training for Beginners","Install Windows Server 2016, Build a Windows Domain, Domain Controller, Learn DHCP, Install Windows 10, and much more...","Microsoft SQL;Microsoft Azure;Windows Server;SQL Server"
"Ansible for the Absolute Beginner - Hands-On - DevOps","This course introduces Ansible to the absolute beginner in DevOps. Practice Ansible with coding exercises in browser.","DevOps"
"Active Directory & Group Policy Lab","Learn REAL job skills and stack your resume with the experience you will gain in this course!","Active Directory"
"Salesforce Administrator Certification Practice Tests","Three Full Salesforce Admin Certification Timed Tests - 60 Questions Each - 180 Questions Total - Section Level Feedback","Salesforce Certification;Salesforce Administration;Oracle Certification;AWS Certification;ITIL Certification"
"Salesforce Platform App Builder Developer 401 Certification","The Former Salesforce Developer 401 Certification is Now Platform App Builder - Build Apps and Get Certified","Salesforce Certification;Salesforce Administration;Oracle Certification;AWS Certification;ITIL Certification"
"Mastering Agile Scrum Project Management","Review and master agile development & scrum methodologies for your career. Accredited PMI Provider.","Database Management"
"The Definitive Ethical Hacking Course - Learn From Scratch","Learn the Basics Of Ethical Hacking, Penetration Testing, Wifi Hacking","Ethical Hacking;Penetration Testing;Selenium Testing Framework;Unit Testing;API Testing"
"Learn Network Hacking From Scratch (WiFi & Wired)","Learn how to hack both WiFi and wired networks like black hat hackers, and learn how to secure them from these attacks.","Ethical Hacking;Neural Networks"
"Learn Linux Administration and Supercharge Your Career","Use the in-demand Linux skills you learn in this course to get promoted or start a new career as a Linux System Admin.","Kali Linux;Linux;Linux Administration;Salesforce Administration"
"Docker for the Absolute Beginner - Hands On - DevOps","Learn Docker with Hands On Coding Exercises. For beginners in DevOps","Docker;DevOps"
"Maven Crash Course","Create a multi module maven java web applicaiton project in easy steps","Java"
"Spring MVC For Beginners : Build Java Web App in 25 Steps","Spring MVC Tutorial for Beginners with a Hands-on Step by Step Approach - 25 Steps","Spring Framework;Java"
"Oracle SQL - Step by Step SQL","Discover essential SQL skills necessary to transform you into SQL developer which can earn you $70k+ in the IT Industry","Oracle SQL;Oracle Certification;SQL;SQL Server;Microsoft SQL"
"Learn 5 PLCs in a Day-AB, Siemens, Schneider, Omron & Delta","PLC Programming of Allen Bradley, Delta, Siemens, Omron & Schneider using LIVE Examples with HMI Interfacing","PLC;HMI"
"CompTIA A+ Certification 220-901: Practice Tests","Test your skills with 3 full practice exams that mimic the real CompTIA exams with - Certification Practice Tests.","CompTIA A+;CompTIA Network+;CompTIA Security+;Oracle Certification;AWS Certification;Salesforce Certification;ITIL Certification"
"The Complete Cyber Security Course : Anonymous Browsing!","Volume 3 : Become a Cyber Security Specialist, Anonymous Browsing, Hide my IP, Tor, Privacy, Proxy Servers and Best VPNs","Cyber Security;Network Security"
"Cisco CCNA / ICND1 (100-105) Complete Course: Sims and GNS3","The complete course to help you prepare and pass Cisco's newest CCNA & CCENT exams in 2017","Cisco CCNA"
"Cisco CCENT / ICND1 (100-105) + Bonus: The Complete Course","A complete course to prepare students to pass Cisco's NEW CCENT certification /  ICND1 (100-105)","Cisco CCNA;Oracle Certification;AWS Certification;Salesforce Certification;ITIL Certification"
"Build an Advanced Keylogger using C++ for Ethical Hacking!","Take this course to learn how to code a fully functional keylogger in C++ for use in Windows!","C++;Ethical Hacking;Windows Server"
"Microcontrollers and the C Programming Language (MSP430)","Create C programs for a microcontroller using inputs/outputs, timers, analog-to-digital converters, comm ports, and LCD.","Objective C;Natural Language Processing;Microcontroller"
"IT Security and Ethical Hacking","Learn the basics of IT Security, Ethical Hacking and its various concepts. Work on becoming a Certified Ethical Hacker!","Cyber Security;Network Security;Ethical Hacking"
"Office 365 Administration (Exam 70-346)","This course is designed to give users a tour and understanding of the administrative capabilities in Office 365.","Salesforce Administration;Linux Administration"
"Microsoft Windows Server 2012 Certification - Exam 70-410 ","Gain Either MCSA or MCSE Status, This Course Covers Everything You Need To Pass The Microsoft Exam 70-410","Microsoft SQL;Microsoft Azure;Windows Server;SQL Server;Oracle Certification;AWS Certification;Salesforce Certification;ITIL Certification"
"Practice Test AWS Certified Solutions Architect Associate","Quiz + Video  - In 1 hour, you will gain substantial insight to pass the certification exam. Focused and Concise.","AWS Certification;Amazon AWS;Oracle Certification;Salesforce Certification;ITIL Certification"
"The Complete ServiceNow System Administrator Course (2016)","A Complete Beginner's Guide To ServiceNow Administration on the Eureka release","Salesforce Administration;Linux Administration"
"CompTIA Security+ Certification (SY0-501): The Total Course","Everything you need to pass the CompTIA Security+ SY0-501 Exam, from Mike Meyers. CompTIA expert and bestselling author.","CompTIA A+;CompTIA Network+;CompTIA Security+;Oracle Certification;AWS Certification;Salesforce Certification;ITIL Certification"
"Hacking in Practice: Certified Ethical Hacking MEGA Course","Practical Ethical Hacking Techniques. The most extensive ethical hacking on-line course. Over 27+ HOURS OF VIDEO","Ethical Hacking;Online Business"
"Cryptocurrency Wallets Course: Secure Your Cryptos Safely!","Keep your Cryptocurrency safe & secure from hackers with Paper, Desktop, Mobile and Hardware wallets!",""
"Project Based Salesforce Admin & Adv Admin Hands-On Training","The objective is to make you a Successful Solo Salesforce Administrator even if you have no prior CRM experience","Salesforce Certification;Salesforce Administration;Objective C"
"SAP MM Training - in Plain English","You know English ? That's more than enough to learn SAP MM",""
"Tech Explorations™ Arduino Step by Step: Getting Started","The original comprehensive course designed for new Arduino Makers","Arduino"
"Start Using Wireshark to Hack like a Pro","Start your first capture, use Wireshark features to understand the data and analyze the network communication","Wireshark"
"Mastering Microcontroller with Embedded Driver Development","Learn from Scratch Microcontroller & Peripheral Driver Development for GPIO,I2C,SPI,USART  using Embedded C Programming","Microcontroller;Embedded Systems;Objective C"
"System Center Configuration Manager (SCCM) For Beginners","The fluff-free SCCM course that shows you how to install and administrate SCCM within your network, screen-by-screen",""
"Linux Security and Hardening, The Practical Security Guide.","Secure any Linux server from hackers & protect it against hacking. The practical Linux Administration security guide.","Kali Linux;Linux;Linux Administration;Cyber Security;Network Security;SQL Server;Windows Server;Ethical Hacking;Salesforce Administration"
"Java Interview Guide : 200+ Interview Questions and Answers","200+ Java Interview Questions for Beginners","Java"
"AWS Certified Developer - Associate 2017 (Practice Tests)","Final prep for the AWS CD-A certification exam","AWS Certification;Amazon AWS;Oracle Certification;Salesforce Certification;ITIL Certification"
"Nginx Fundamentals: High Performance Servers from Scratch","Learn how to install & configure an Nginx web server from scratch.","SQL Server;Windows Server"
"Learn Big Data: The Hadoop Ecosystem Masterclass","Master the Hadoop ecosystem using HDFS, MapReduce, Yarn, Pig, Hive, Kafka, HBase, Spark, Knox, Ranger, Ambari, Zookeeper","Big Data;Hadoop"
"Ethical Hacking & Cyber Security Course : A Complete Package","Become Cyber Security Expert and Ethical Hacker. This Course is specially designed to enhance your Hacking Capabilities.","Ethical Hacking;Cyber Security;Network Security"
"Hacking For Beginners","Perform your first hack in the next 2 hours!","Ethical Hacking"
"JUnit and Mockito Crash Course","Learn how to use JUnit and Mockito and Unit Test in easy steps.","Unit Testing"
"The Complete Cyber Security Course : End Point Protection!","Volume 4 :Become a Cyber Security Specialist, Antivirus & Malware, Disk Encryption, Finding & Removing Hackers & Malware","Cyber Security;Network Security"
"Certified Bitcoin Professional: Pass The Certification Exam","Enroll On The Most Complete Course Available Helping You To Become A Certified Bitcoin Professional!","Oracle Certification;AWS Certification;Salesforce Certification;ITIL Certification"
"Learn API Technical Writing: JSON and XML for Writers","API Documentation1: Teaches technical writers how to document structured data. No programming experience required.","REST API;API Testing"
"REST API Design, Development & Management","Learn the REST API Concepts, Design best practices, Security practices, Swagger 2.0/OAI, Hands on API Management","REST API;API Testing;Database Management;Cyber Security;Network Security"
"AWS Certified Solutions Architect Associate Practice Exams","390 UNIQUE Amazon Web Services (AWS) Questions in 6 Practice Tests with Full Explanations,Reference Links,Score Tracking","AWS Certification;Amazon AWS"
"VMware vSphere 6.0 Part 1 - Virtualization, ESXi and VMs","Learn VMware's ESXi 6 Hyperisor, Virtual Networking, NFS Shares and Virtual Machines. Learn how with Video Demos.","VMware Vsphere;Virtual Reality;IT Networking Fundamentals"
"AWS CloudFormation Master Class","Write Complete AWS CloudFormation Templates using YAML. Learn all the Recent Cloud Formation Features","AWS Certification;Amazon AWS"
"Learn the Methods of Facebook hacking in Ethical Way","Learn the Secrets of hacking Facebook accounts & methods of preventing yourself from being hacked. A research Course.","Ethical Hacking"
"Master Microsoft PowerShell","Unleash the Power of PowerShell. Amazing skills for anyone that deals with IT.","Microsoft SQL;Microsoft Azure;PowerShell"
"SAP HANA SQL & SQL Scripting","Learn how to develop SAP HANA Database Skills using SQL & SQL Scripting","SQL;Oracle SQL;SQL Server;Microsoft SQL;Shell Scripting;Database Management"
"Linux Mastery: Master the Linux Command Line in 11.5 Hours","Learn the Linux Command Line from Scratch and Improve your Career with the World's Most Fun Project-Based Linux Course!","Kali Linux;Linux;Linux Administration"
"Introduction to Computer Networks for Non-Techies","Learn the Fundamentals of Computer Networking for Non-Techies","Computer Vision;Neural Networks;IT Networking Fundamentals"
"Ultimate Ethical Hacking Boot Camp - Beginner to Pro","Learn Ethical Hacking from world-famous Hacker Bryan Seely. Learn real hacker secrets from the real thing.","Ethical Hacking"
"Learn Social Engineering From Scratch","Learn how to hack Windows, Mac OS X, Linux & Android Using Social Engineering & how to secure yourself from hackers","Windows Server;Kali Linux;Linux;Linux Administration;Android Studio;Android Development"
"CompTIA Network+ Cert (N10-007): Full Course & Practice Exam","CompTIA Network+ Bootcamp: Certification preparation course on the most popular networking certifications in the world!","CompTIA A+;CompTIA Network+;CompTIA Security+;Oracle Certification;AWS Certification;Salesforce Certification;ITIL Certification;IT Networking Fundamentals"
"Salesforce Developer Training for Beginners:Basic to Advance","Salesforce CRM Apex: This course covers basic and Advance concepts related to Apex like Triggers, DML operation.","Salesforce Certification;Salesforce Administration"
"Practical PLC Programming (PLC II)","This course will give an intermediate-level student the experience necessary to originate complex, logical solutions.","PLC"
"MySQL, SQL and Stored Procedures from Beginner to Advanced","A beginners' guide to MySQL queries, database design, transactions and stored procedures.","MySQL;SQL;Oracle SQL;SQL Server;Microsoft SQL;Database Management"
"Programming in Microsoft C# - Exam 70-483","Training For Your MCSD: Windows Store Apps Using C# Certification","Microsoft SQL;Microsoft Azure;C#;Windows Server;Retail Store Design;Oracle Certification;AWS Certification;Salesforce Certification;ITIL Certification"
"SQL Server Administration Part1","SQL Education with a purpose","SQL;Oracle SQL;SQL Server;Microsoft SQL;Windows Server;Salesforce Administration;Linux Administration"
"RHCSA Exam Training by Infinite Skills","A detailed course that covers the requirements for passing the Red Hat Certified System Administrator ( Exam EX200 )",""
"Introduction to QA Software Testing  Professionalism","Learn QA SW Testing concept and decide if Quality Assurance Testing career is for you","Selenium Testing Framework;Unit Testing;API Testing;Penetration Testing"
"Oracle SQL : Become a Certified SQL Developer From Scratch!","Learn SQL with a "Professional Certification Course", Hundreds of Examples including 3 Real Exam Samples(225 Questions)!","Oracle SQL;Oracle Certification;SQL;SQL Server;Microsoft SQL;AWS Certification;Salesforce Certification;ITIL Certification"
"Azure Introduction to Cloud Services","This course will introduce students to the Cloud, types of Cloud services, Azure services, and Azure PowerShell.","Microsoft Azure;PowerShell"
"Pass the ITIL Foundations Exam","Everything you must know in order to pass the ITIL Foundations Examination","ITIL Certification"
"SAP S/4HANA Training - in Plain English","Simple Logistics for SAP Functional Consultants in Logistics ( SD, MM )",""
"ITIL Foundation: Cram to Pass the ITIL Exam in 7 Days!","A time-compressed resource to passing ITIL Foundation exam on the 1st attempt, includes 2 realistic practice exams!","ITIL Certification"
"CompTIA Security+ Certification - SY0-401 (2014 Objectives)","Study for the CompTIA Security+ Certification with Infinite Skills","CompTIA A+;CompTIA Network+;CompTIA Security+;Oracle Certification;AWS Certification;Salesforce Certification;ITIL Certification"
"HP UFT / QTP 14.00  (Latest Version)","Automation testing with HP Unified Functional Testing","Automation;Selenium Testing Framework;Unit Testing;API Testing;Penetration Testing"
"Algorithms and Data Structures in Python","A guide to implement the most up to date algorithms from scratch: arrays, linked lists, graph algorithms and sorting","Algorithms;data structures;Python"
"Embedded Systems Programming on ARM Cortex-M3/M4 Processor","With hands on Coding using C Programming and assembly on ARM Cortex M Processor based Microcontroller","Embedded Systems;Objective C;Microcontroller"
"How to Hack WiFi Networks for Beginners","Learn how to Hack WiFi Networks (WEP, WPA, WPA2).","Neural Networks"
"Ubuntu Linux Server Basics","Learn Ubuntu Server administration in 3 days with this step-by-step course for beginners.","Ubuntu;Kali Linux;Linux;Linux Administration;SQL Server;Windows Server;Salesforce Administration"
"Tech Explorations™ Raspberry Pi: Full Stack Minibian","A whirlwind tour of full-stack web application development on the Raspberry Pi","Raspberry Pi"
"CompTIA CySA+ (CS0-001): Complete Course and Practice Exam","Pass the CompTIA Cybersecurity Analyst+ (CS0-001) exam on your 1st attempt, includes CySA+ practice exam!","CompTIA A+;CompTIA Network+;CompTIA Security+"
"Blockchain Development on Hyperledger Fabric using Composer","Learn to develop Network Applications on Hyperledger Fabric & Composer Technology","BlockChain"
"CCA 175 - Spark and Hadoop Developer Certification - Scala","Cloudera Certified Associate Spark and Hadoop Developer using Scala as Programming Language","Hadoop;Oracle Certification;AWS Certification;Salesforce Certification;ITIL Certification;Natural Language Processing"
"Introduction To Python For Ethical Hacking","Learn How To Use Python for Ethical Hacking and Build an Nmap Network Scanner from Scratch","Python;Ethical Hacking"
"Best QA Manual Software Testing: Live Project+Agile+Jira+API","Ultimate QA Manual Testing course with Live project and Live demo + Real time interview questions + Life time support","Selenium Testing Framework;Unit Testing;API Testing;Penetration Testing"
"SAP HANA Implementation, Modeling and Reporting Course","Learn how to build a Real Time Platform using SAP HANA the best selling product in the history of SAP.","3D Modeling"
"Learn Unit Testing with Junit & Mockito in 30 Steps","Learn Mockito and JUnit - the most popular unit testing and mocking frameworks - with 25 Examples","Unit Testing;Selenium Testing Framework;API Testing;Penetration Testing"
"Kali Linux Hacking Lab for Beginners","Learn to hack with Kali Linux! Easily create your own hacking labs and do penetration testing!","Kali Linux;Linux;Linux Administration;Ethical Hacking;Penetration Testing;Selenium Testing Framework;Unit Testing;API Testing"
"Hands-on with Amazon Redshift","Large Scale Data Warehouse Design in the Cloud","Amazon AWS"
"AWS Certified Solution Architect - Associate","AWS Solution Architect - Associate Course","AWS Certification;Amazon AWS"
"Arduino Programming and Hardware Fundamentals with Hackster","Learn electrical engineering basics to build circuits and program Arduino to make wearables, robots, and IoT devices","Arduino"
"CompTIA IT Fundamentals; FC0-U51. The Total Course","What EVERY USER needs to know about basic setup, configuration, and troubleshooting PCs, networks, and mobile devices.","CompTIA A+;CompTIA Network+;CompTIA Security+;User Interface;Neural Networks"
"Python For Offensive PenTest: A Complete Practical Course","Python for Hacking , Learn how to use python for ethical hacking and penetration testing","Python;Ethical Hacking;Penetration Testing;Selenium Testing Framework;Unit Testing;API Testing"
"Palo Alto Firewalls Configuration By Example - PCNSE Prep","Deep dive in Policies and Network Configuration of PaloAlto Firewalls by example","Deep learning"
"IT Help Desk Professional","Get Hands-On Experience on Helpdesk Skills, Learn, Master & Troubleshoot All What It Takes To Get You a Job",""
"Salesforce Sales Cloud Consultant Certification Course","Salesforce Sales Cloud Consultants are in demand. Take your Salesforce Career to the Next Level and Become a Consultant.","Salesforce Certification;Salesforce Administration;Oracle Certification;AWS Certification;ITIL Certification"
"Spring Core - Learn Spring Framework 4 and Spring Boot","Build a web application using Spring Framework 4 and Spring Boot","Spring Framework"
"Kali Linux Tutorial For Beginners","#1 Ranking Kali Linux Tutorial! Learn from the pros how to use Kali Linux easily and quickly.","Kali Linux;Linux;Linux Administration"
"Data Structures in Java - Part I (+INTERVIEW QUESTIONS)","AVL tree, red-black tree, B-tree, binary search tree, array, linked list, stack, queue and splay tree","data structures;Java"
"The Complete Nmap Ethical Hacking Course : Network Security","Become an expert in the ethical hacking and network security tool Nmap!","Ethical Hacking;Cyber Security;Network Security"
"Certified WhiteHat Hacker Level 1 ( CWHH Level 1)","Learn all topics on ethical hacking. Learn what others teach you about ethical hacking charging you so much money.","Ethical Hacking"
"Tech Explorations™ Basic electronics for Arduino Makers","An introduction to electronics to help you make the most from your Arduino or other prototyping platform.","Electronics;Arduino"
"Learn T-SQL From Scratch For SQL Server Administrator","All the information needed within the courses to set yourself for a successful career as a SQL Production DBA","SQL;Oracle SQL;SQL Server;Microsoft SQL;Windows Server"
"Learn to Design Your Own Boards","Design a board in 15 hours. Step-by-Step tutorial based on Arduino project (Altium)","Arduino"
"Mastering RTOS: Hands on with FreeRTOS, Arduino and STM32Fx","Learn Running/Porting FreeRTOS Real Time Operating System on Arduino,  STM32F4x and ARM cortex M based Mircocontrollers","RTOS;Arduino"
"SQL Tuning","Learn how to formulate and tune SQL statements for optimal performance","SQL;Oracle SQL;SQL Server;Microsoft SQL"
"SQL Advanced","Lead yourself to enhance your SQL skills and transform into Senior SQL Developer. Learn SQL by doing with me.","SQL;Oracle SQL;SQL Server;Microsoft SQL"
"Master Computers - From Beginner to Expert in One Week","Become a master of computers. In one week, you will understand how computers work and how to use them well.",""
"Cisco ICND1 - CCENT (100-105) - A Complete Guide","Pass the ICND 1 (100-105) exam easily. Recorded in Full HD! Challenges and Quizzes included! Great for CCNA students too","Cisco CCNA"
"MTA: Windows Server Administration Fundamentals: 98-365","Learn how to install, configure and troubleshoot Microsoft Windows Server 2008 and 2012. Pass your MTA exam first time!","Windows Server;SQL Server;Salesforce Administration;Linux Administration;Microsoft SQL;Microsoft Azure"
"OpenStack Essentials","Learn OpenStack, Install & Operate Your Own IaaS Cloud!",""
"The Complete VMware vSphere 6.5: Beginner to Advanced-Part 1","Start from absolute zero, and learn to use Vmware vSphere 6.5 as it was meant to be used, Full Practical Training Course","VMware Vsphere"
"CCNA Security and CCNP Security Deep Dive Part::1","CCNA Security and CCNP Security 2016  With Baldev","Cisco CCNA;Cyber Security;Network Security;Deep learning"
"Learn VHDL and FPGA Development","Learn how to create a VHDL design that can be simulated and implemented on a Xilinx or Altera FPGA development board.",""
"CompTIA A+ Certification 220-902: Practice Tests","Test your skills with 3 full practice exams that mimic the real CompTIA exams with - Certification Practice Tests.","CompTIA A+;CompTIA Network+;CompTIA Security+;Oracle Certification;AWS Certification;Salesforce Certification;ITIL Certification"
"Complete Salesforce Certified Platform Developer I Course","Learn and get your Developer I Certification! 100% aligned with the official exam Study Guide of the Spring 18 release!","Salesforce Certification;Salesforce Administration;Oracle Certification;AWS Certification;ITIL Certification;Spring Framework"
"CCNP Route 642-902 Implementing Cisco IP Routing","includes everything you will need to fully prepare for your CCNP Route certification ","Cisco CCNA;Oracle Certification;AWS Certification;Salesforce Certification;ITIL Certification"
