title,description,tags
"The Complete ASP.NET MVC 5 Course","Learn to build fast and secure web applications with ASP.NET MVC 5 - The most popular course with 40,000+ students!",""
"iOS 10 & Swift 3: From Beginner to Paid Professional™","The most comprehensive course on iOS development - become a master of app development","iOS Development;Swift"
"Docker Mastery: The Complete Toolset From a Docker Captain","Build, compose, deploy, and manage Docker containers from development to DevOps based Swarm clusters","Docker;DevOps"
"Angular Crash Course for Busy Developers","Have limited time to learn Angular 4 (Angular 2+)? Take this course and learn Angular in 10 hours!","Angular"
"Python and Django Full Stack Web Developer Bootcamp","Learn to build websites with HTML , CSS , Bootstrap , Javascript , jQuery , Python 3 , and Django!","Python;Django;HTML;CSS;Bootstrap;javaScript"
"The Complete Angular Course: Beginner to Advanced","The most comprehensive Angular 4 (Angular 2+) course. Build a real e-commerce app with Angular, Firebase and Bootstrap 4","Angular;WordPress for Ecommerce;Firebase;Bootstrap"
"The Complete iOS 10 & Swift 3 Developer Course","Learn iOS App Development by building 21 iOS apps using Swift 3 & Xcode 8. Includes free web hosting, assets & ebook.","iOS Development;Swift;Xcode"
"The Ultimate MySQL Bootcamp: Go from SQL Beginner to Expert","Become an In-demand SQL Master by creating complex databases and building reports through real-world projects","MySQL;SQL;Oracle SQL;SQL Server;Microsoft SQL"
"The Python Bible™ | Everything You Need to Program in Python","Build 11 Projects and go from Beginner to Pro in Python with the World's Most Fun Project-Based Python Course!","Python"
"The Complete Web Developer in 2018: Zero to Mastery","Learn to code and become a web developer in 2018 with HTML5, CSS, Javascript, React, Node.js, Machine Learning & more!","CSS;javaScript;React;React Native;Machine Learning;Mathematics for Machine Learning;Deep learning"
"Data Science, Deep Learning, & Machine Learning with Python","Go hands-on with the neural network, artificial intelligence, and machine learning techniques employers are seeking!","Data Science;Deep learning;Machine Learning;Mathematics for Machine Learning;Python;Neural Networks;Artificial Intelligence"
"C# Intermediate: Classes, Interfaces and OOP","An in-depth, step-by-step guide to classes, interfaces and object-oriented programming (OOP) with C#","C#"
"PHP for Beginners - Become a PHP Master - CMS Project","PHP for Beginners: learn everything you need to become a professional PHP developer with practical exercises & projects.","PHP"
"Ultimate Web Designer & Developer Course: Build 23 Projects!","Become a Full-Stack Developer - Learn Everything from Design to Front & Back-End Programming.","Affinity Designer;Backend Development"
"Learning Python for Data Analysis and Visualization","Learn python and how to use it to analyze,visualize and present data. Includes tons of sample code and hours of video!","Machine Learning;Deep learning;Mathematics for Machine Learning;Python"
"The Complete React Web Developer Course (with Redux)","Learn how to build and launch React web applications using React v16, Redux, Webpack, React-Router v4, and more!","React;React Native;Redux;Redux Framework"
"The Ultimate Excel Programmer Course","Learn Excel VBA from scratch with Dan Strong! I've trained over 120K students on YouTube and U-demy, check it out!",""
"Angular & NodeJS - The MEAN Stack Guide","Learn how to connect your Angular Frontend to a NodeJS & Express & MongoDB Backend by building a real Application","Angular;Frontend Development;Express Framework;MongoDB;Backend Development"
"The Complete Oracle SQL Certification Course","Don't just learn the SQL Language, Become Job-Ready and Launch Your Career as a Certified Oracle SQL Developer!","Oracle SQL;Oracle Certification;SQL;SQL Server;Microsoft SQL;AWS Certification;Salesforce Certification;ITIL Certification;Natural Language Processing"
"Advanced React and Redux: 2018 Edition","Detailed walkthroughs on advanced React and Redux concepts - Authentication, Testing, Middlewares, HOC's, and Deployment","React;React Native;Redux;Redux Framework;Selenium Testing Framework;Unit Testing;API Testing;Penetration Testing"
"Master Jenkins CI For DevOps and Developers","Learn how to build automated continuous integration pipeline with Jenkins. Take your DevOps skills to the next level.","Jenkins;DevOps"
"Learn How To Code: Google's Go (golang) Programming Language","Learn programming from a University Professor in Computer Science with over 15 years of teaching experience.","Natural Language Processing;Computer Vision;Data Science"
"The Complete Ruby on Rails Developer Course","Learn to make innovative web apps with Ruby on Rails 4 & 5 and unleash your creativity","Rails"
"C# Advanced Topics: Prepare for Technical Interviews","Master the confusing C# constructs: Events, Delegates, Lambda Expressions, LINQ, Async/Await and more!","C#"
"Advanced CSS and Sass: Flexbox, Grid, Animations and More!","The most advanced and modern CSS course on the internet: master flexbox, CSS Grid, responsive design, and so much more.","CSS"
"Complete Guide to TensorFlow for Deep Learning with Python","Learn how to use Google's Deep Learning Framework - TensorFlow with Python! Solve problems with cutting edge techniques!","TensorFlow;Deep learning;Machine Learning;Mathematics for Machine Learning;Python"
"Node with React: Fullstack Web Development","Build and deploy fullstack web apps with NodeJS, React, Redux, Express, and MongoDB.","Node js;React;React Native;Redux;Redux Framework;Express Framework;MongoDB"
"ES6 Javascript: The Complete Developer's Guide","ES6 Javascript Development from scratch.  Get practice with live examples and learn exactly where to apply ES6 features.","javaScript"
"Unreal Engine 4: How to Develop Your First Two Games","Epic Games-Approved: learn the Unreal Editor, master the gameplay framework, and use Blueprint to program without coding","Unreal Engine"
"Selenium WebDriver With Java - Novice To Ninja + Interview","Join the "Top Rated Best Selenium Course" - Basics To Advanced Level With POM, Grid, Maven, Jenkins, Interviews","Selenium WebDriver;Selenium Testing Framework;Java;Jenkins"
"iOS 9 and Swift 2: From Beginner to Paid Professional™","The BEST online iOS 9 Swift 2 course online. Lets learn iOS 9 & Swift 2","iOS Development;Swift;Online Business"
"Docker Technologies for DevOps and Developers","Learn how to develop and deploy web applications with Docker technologies. Take your DevOps skills to the next level.","Docker;DevOps"
"The Complete WordPress Website Business Course","Master WordPress with this Complete WordPress Course, without learning how to code and without any programming!","WordPress;WordPress for Ecommerce;Online Business;Web Design Business;Machine Learning;Deep learning;Mathematics for Machine Learning"
"Ionic 2/ Ionic 3 - Build iOS & Android Apps with Angular","Build Native iOS and Android Apps with Angular 2+, Cordova and the Ionic 3 Framework. Build 4 Complete Apps!","Ionic;iOS Development;Android Studio;Android Development;Angular;React Native"
"Part 1 Foundation Enterprise Architect Certification Trng","Software architecture certification with TOGAF® 9 Part 1 exam, to become TOGAF Foundation.","Oracle Certification;AWS Certification;Salesforce Certification;ITIL Certification"
"Complete C# Unity Developer 3D - Learn to Code Making Games","Game development & design. Learn C# using Unity Engine. Your first 3D Unity games for web, Mac & PC.","C#;Unity;3D Game Development;3D Animation;3D Modeling;Game Development Fundamentals;2D Game Development;Mobile Game Development;Unreal Engine"
"Ethereum and Solidity: The Complete Developer's Guide","Use Ethereum, Solidity, and Smart Contracts to build production-ready apps based on the blockchain","BlockChain"
"Xamarin Forms: Build Native Cross-platform Apps with C#","Learn to build native mobile apps for Android, iOS and Windows using your existing C# skills","React Native;C#;Android Studio;Android Development;iOS Development;Windows Server"
"Understanding TypeScript","Don't limit the Usage of TypeScript to Angular 2! Learn the Basics, its Features, Workflows and how to use it!","Angular"
"Scrum Certification Prep +Scrum Master+ Agile Scrum Training","Overview of Scrum Agile project management+common questions+tips to pass PSM scrum org ONLINE Scrum Master Certification","Oracle Certification;AWS Certification;Salesforce Certification;ITIL Certification;Online Business"
"Modern JavaScript From The Beginning","Learn and build projects with pure JavaScript (No frameworks or libraries)","javaScript"
"Android Java Masterclass - Become an App Developer","Improve your career options by learning Android app Development. Master Android Studio and build your first app today","Android Studio;Android Development;Java;Machine Learning;Deep learning;Mathematics for Machine Learning"
"Taming Big Data with Apache Spark and Python - Hands On!","Dive right in with 15+  hands-on examples of analyzing large data sets with Apache Spark, on your desktop or on Hadoop!","Big Data;Apache;Python;Hadoop"
"The Complete Android Kotlin Developer Course","Learn how to make online games, and apps for Android O, like Pokémon , twitter,Tic Tac Toe, and notepad using Kotlin","Android Studio;Android Development;Kotlin;Online Business"
"C++: From Beginner to Expert","Designed for people who don't have any knowledge about the programming and want to program in C++","C++"
"Entity Framework in Depth: The Complete Guide","Connect your applications to a SQL Server database","Entity Framework;SQL;Oracle SQL;SQL Server;Microsoft SQL;Windows Server;Database Management"
"WebServices/REST API Testing with SoapUI+ Real Time Projects",""Most Popular #1 SoapUI Test automation Course - "21000+ students learning together with great collaboration"","REST API;API Testing;Selenium Testing Framework;Unit Testing;Penetration Testing;Automation;Machine Learning;Deep learning;Mathematics for Machine Learning"
"Beginner Full Stack Web Development: HTML, CSS, React & Node","Learn web development with HTML, CSS, Bootstrap 4, ES6 React and Node","HTML;CSS;React;React Native;Node js;Bootstrap"
"PHP with Laravel for beginners - Become a Master in Laravel","Learn to master Laravel to make advanced applications like the real CMS app we build on this course","PHP;laravel"
"Complete Step By Step Java For Testers","A-Z guide for learning Java what's perfectly right for your Selenium WebDriver and Test Automation needs","Java;Machine Learning;Deep learning;Mathematics for Machine Learning;Selenium WebDriver;Selenium Testing Framework;Automation"
"Bootstrap 4 From Scratch With 5 Projects","Master the latest version of Bootstrap (4.1.1) and build 5 real world themes while learning HTML5 semantics & CSS3","Bootstrap;Machine Learning;Deep learning;Mathematics for Machine Learning"
"The Advanced Web Developer Bootcamp","Learn React 16, Redux, D3, ES2015, Testing, CSS Flexbox, Animations, SVG, AJAX, and more!","React;React Native;Redux;Redux Framework;Selenium Testing Framework;Unit Testing;API Testing;Penetration Testing;CSS"
"Android O & Java - Mobile App Development | Beginning to End","The complete Android course with Android Studio & Java. Go from beginner to professional app developer.","Android Studio;Android Development;Java"
"Webpack 2: The Complete Developer's Guide","Master Webpack 2 as you deploy web apps supported by Babel, code splitting, and ES2015 Modules.",""
"Go: The Complete Developer's Guide (Golang)","Master the fundamentals and advanced features of the Go Programming Language (Golang)","Natural Language Processing"
"Git Complete: The definitive, step-by-step guide to Git","Go from zero to hero with Git source control step-by-step with easy to understand examples. Become the next Git expert!","Git"
"Microservices with Spring Cloud","A deep-dive into the Microservice architectural style, and how to implement it with Spring technologies.","Spring Framework"
"Apache Kafka Series - Learn Apache Kafka for Beginners","START HERE: Learn Apache Kafka Ecosystem, Core Concepts, Operations, Kafka API, Build Your Own Producers and Consumers","Apache;REST API;API Testing"
"The Java Spring Tutorial: Learn Java's Popular Web Framework","Learn the hottest, most in-demand Java web framework, including web programming with Spring MVC and Hibernate. Lifetime access with no subscription on Udemy.","Java;Spring Framework"
"The Ultimate Guide to Game Development with Unity","Created in partnership with Unity Technologies: learn C# by developing 2D & 3D games with this comprehensive guide","Game Development Fundamentals;3D Game Development;2D Game Development;Mobile Game Development;Unity;C#;3D Animation;3D Modeling"
"The Complete Developers Guide to MongoDB","Master MongoDB and Mongoose design with a test-driven approach","MongoDB"
"iOS 11 & Swift 4: From Beginner to Paid Professional™","Build iOS Apps & Learn iOS 11, Swift 4, ARKit (Augmented Reality), CoreML (Machine Learning)","iOS Development;Swift;Augmented Reality;Virtual Reality;Machine Learning;Mathematics for Machine Learning;Deep learning"
"Learn Database Design with MySQL","A Complete Course to Master Database Design using MySQL","Database Management;MySQL"
"Unity Game Development Academy: Make 2D & 3D Games","Learn Unity game design & 2D & 3D game development & make your own C# games in Unity 3D","Unity;Game Development Fundamentals;3D Game Development;2D Game Development;Mobile Game Development;3D Animation;3D Modeling;C#"
"The Modern Python 3 Bootcamp","A Unique Interactive Python Experience With Nearly 200 Exercises and Quizzes","Python"
"The Complete Python 3 Course: Go from Beginner to Advanced!","Complete Guide to learning how to program in Python. Go from Beginner to Advanced level in Python with coding exercises!","Python;Machine Learning;Deep learning;Mathematics for Machine Learning"
"Web Design for Beginners: Real World Coding in HTML & CSS","Launch a career as a web designer by learning HTML5, CSS3, responsive design, Sass, cross device compatibility and more!","HTML;CSS;Affinity Designer;Machine Learning;Deep learning;Mathematics for Machine Learning"
"The Complete Android Developer Course: Beginner To Advanced!","In this complete course students will learn how to build and develop Android Applications for smartphone and beyond","Android Studio;Android Development"
"Angular Front To Back","Master Angular 5 from the basics to building an advanced application with Firebase's Firestore as well as authentication","Angular"
"Git a Web Developer Job: Mastering the Modern Workflow","Learn Git, GitHub, Node.js, NPM, Object-oriented JavaScript, ES6, webpack, Gulp, BEM and Job Interview Tips","Git;javaScript"
"Appium(Selenium)-Mobile Automation Testing from Scratch","Appium -Top class 200 +Lectures on Mobile Automation  from basics to Framework level with real time examples","Automation;Selenium Testing Framework;Unit Testing;API Testing;Penetration Testing;Appium"
"Python for Financial Analysis and Algorithmic Trading","Learn numpy , pandas , matplotlib , quantopian , finance , and more for algorithmic trading with Python!","Python"
"GraphQL with React: The Complete Developers Guide","Learn and master GraphQL by building real web apps with React and Node","React;React Native;Node js"
"The Complete Android & Java Developer Course - Build 21 Apps","Learn Android Development, Java & Android Studio from Scratch in 5 Weeks. Build Whatsapp Clone, Diary App & more","Android Studio;Android Development;Java"
"REST APIs with Flask and Python","Build professional REST APIs with Python, Flask, Flask-RESTful, and Flask-SQLAlchemy","REST API;Python"
"30 Days of Python | Unlock your Python Potential","Python is simple enough for beginners, powerful enough for the pros. Use it for IOT, Web Scraping, Big Data,  and more.","Python;Big Data"
"Spring Framework 5: Beginner to Guru","Spring Framework 5: Learn Spring Framework 5, Spring Boot 2, Spring MVC, Spring Data JPA, Spring Data MongoDB, Hibernate","Spring Framework;MongoDB"
"The Complete iOS 11 & Swift Developer Course - Build 20 Apps","Use Xcode 9 & Swift 4 to make real iOS 11 apps like Uber and Instagram, with CoreML & ARKit. Includes AWS Credit & more!","iOS Development;Swift;Xcode;AWS Certification;Amazon AWS"
"Python for Data Structures, Algorithms, and Interviews!","Get a kick start on your career and ace your coding interviews!","Python;data structures;Algorithms"
"JSP, Servlets and JDBC for Beginners: Build a Database App","JSP: Covers latest versions of JSP 2.3 and Servlets 3.1 - Most Popular JSP/Servlet course","Database Management"
"The Coding Interview Bootcamp: Algorithms + Data Structures","Ace your next Javascript coding interview by mastering data structures and algorithms.","Algorithms;data structures;javaScript"
"C# Basics: Learn to Code the Right Way","Learn C# Using this Course, Then Move on to Make Windows, Server and .Net Applications!","C#;Windows Server;SQL Server"
"Spark and Python for Big Data with PySpark","Learn how to use Spark with Python, including Spark Streaming, Machine Learning, Spark 2.0 DataFrames and more!","Python;Big Data;Machine Learning;Mathematics for Machine Learning;Deep learning"
"Master Unity By Building 6 Fully Featured Games From Scratch","Learn How To Plan, Design, Create And Publish Your Games On Any Platform Using Unity Game Engine","Unity;Game Development Fundamentals;3D Game Development;2D Game Development;Mobile Game Development;Unreal Engine"
"Learn Python, it's CAKE (Beginners)","Python training for beginners who would like to write programs but don't have a clue how to write python code.","Python"
"Progressive Web Apps (PWA) - The Complete Guide","Build a Progressive Web App (PWA) that feels like an iOS & Android App, using Device Camera, Push Notifications and more","iOS Development;Android Studio;Android Development"
"Master Microservices with Spring Boot and Spring Cloud","An awesome journey from Restful Web Services to Microservices with Spring Boot and Spring Cloud","Spring Framework"
"Java In-Depth: Become a Complete Java Engineer!","Comprehensive Java programming course integrated with design principles, best practices, demos & instructor-led project.","Java"
"Build Websites from Scratch with HTML & CSS","Learn Web Development Essentials and Become a Web Developer From Scratch in this Complete HTML & CSS Beginner's Course","HTML;CSS"
"Build a Real-world App with ASP.NET Core and Angular 2 (4+)","Build a full-stack web app with ASP.NET Core, Entity Framework Core and Angular 2 (Angular 4+)","Angular;Entity Framework"
"The Complete Elixir and Phoenix Bootcamp","Master Functional Programming techniques with Elixir and Phoenix while learning to build compelling web applications!","Machine Learning;Deep learning;Mathematics for Machine Learning"
"RPG Core Combat Creator - Unity 2017 Compatible In C#","Build a Role Playing Game (RPG) in Unity 2017. Learn intermediate C#, code architecture, game & level design.","Unity;C#;Game Development Fundamentals;3D Game Development;2D Game Development;Mobile Game Development"
"Advanced Javascript","In only three hours you will learn enough javascript to transform from a Junior JS Dev into a Senior JS Guru","javaScript;Node js"
"Pre-Programming: Everything you need to know before you code","Increase your chance of success learning to code and communicating with other developers","Machine Learning;Deep learning;Mathematics for Machine Learning"
"AWS Serverless APIs & Apps - A Complete Introduction","Get into serverless computing with API Gateway, AWS Lambda and other Amazon Web Services! Zero server config APIs & SPAs","AWS Certification;Amazon AWS;REST API;API Testing;SQL Server;Windows Server"
"React Native: Advanced Concepts","Master the advanced topics of React Native: Animations, Maps, Notifications, Navigation and More!","React;React Native"
"Shell Scripting: Discover How to Automate Command Line Tasks","Learn shell programming for Linux, Unix, & Mac. Learn how to write shell scripts like a pro & solve real-world problems!","Shell Scripting;Kali Linux;Linux;Linux Administration"
"Become a Web Developer from Scratch","This course covers all you need to know about becoming a top skilled web developer even if you never programmed before!",""
"Learn Spring Boot - Rapid Spring Application Development","Spring Boot gives you all the power of the Spring Framework without all of the complexity. Start writing apps today!","Spring Framework"
"Data Analysis with Pandas and Python","Analyze data quickly and easily with Python's powerful pandas library! All datasets included --- beginners welcome!","Python"
"AngularJS JumpStart with Dan Wahlin","Building Web applications? Learn to build robust Single Page Applications (SPAs) with the popular AngularJS framework!","Landing Page Optimization"
"React JS and Redux - Mastering Web Apps","Create the React JS & Redux apps you always wanted. Build 4 projects, discover development tricks, and master React!","React;React Native;Node js;Redux;Redux Framework"
"The Complete Python 3 Course: Beginner to Advanced!","Learn Python with projects covering game & web development, web scraping, MongoDB, Django, PyQt, and data visualization!","Python;Game Development Fundamentals;3D Game Development;2D Game Development;Mobile Game Development;MongoDB;Django"
"The Complete Web Development Course -  Build 15 Projects","HTML, CSS, Javascript, jQuery, Bootstrap, PHP, MySQL, Wordpress, API's (Google , Facebook, Twitter), Mobile All covered!","HTML;CSS;javaScript;Bootstrap;PHP;MySQL;WordPress;WordPress for Ecommerce;Google Flutter"
"The Best Software Testing Training You Will Ever Get!","QA Software Testing Training Course for ALL + Live Project + JIRA + Bugzilla + qTest + Resume and Interview Guidance","Selenium Testing Framework;Unit Testing;API Testing;Penetration Testing;JIRA"
"The Complete Web Developer Masterclass: Beginner To Advanced","In this complete masterclass course students will learn how to build their very own website from scratch through example",""
"C Programming For Beginners","Learn C in ten easy steps on Windows, Mac OS X or Linux","Objective C;Windows Server;Kali Linux;Linux;Linux Administration"
"The Complete 2018 Fullstack Web Developer Course","Learn HTML, HTML5, CSS, CSS3, JavaScript, PHP, jQuery, Ajax & MySQL from scratch! Build a login system at the end!","HTML;CSS;javaScript;PHP;MySQL"
"JavaScript For Beginners - Learn JavaScript From Scratch","Learn The Fundamentals Of The JavaScript Programming Language","javaScript;Natural Language Processing"
"Become a WordPress Developer: Unlocking Power With Code","Learn PHP, JavaScript, WordPress theming & the WP REST API to Create Custom & Interactive WordPress Websites","WordPress;WordPress for Ecommerce;PHP;javaScript;REST API;API Testing"
"Microsoft SQL Server 2012 Certification Training Exam 70-461","To Study And Pass The Microsoft 70-461 Exam and Gain Certification For MCSA or MCSE","Microsoft SQL;Microsoft Azure;SQL;Oracle SQL;SQL Server;Windows Server;Oracle Certification;AWS Certification;Salesforce Certification;ITIL Certification"
"Practical Data Structures & Algorithms in Java + HW","Go from zero to hero in the most important algorithms and data structures using Java","data structures;Algorithms;Java"
"Complete Guide to Elasticsearch","Learn Elasticsearch from scratch and lay the foundation for learning the ELK stack (Elasticsearch, Logstash & Kibana).","Machine Learning;Deep learning;Mathematics for Machine Learning"
"The Complete Android O App Development","Learn how to make  online games, and apps like Twitter, Pokémon ,Tic Tac Toy, and Find my phone using Android O","Android Studio;Android Development;Online Business;Cell Phone"
"Microsoft SQL for Beginners","A comprehensive course to teach you how to complete SQL queries using Microsoft SQL Server and the T-SQL language.","Microsoft SQL;Microsoft Azure;SQL;Oracle SQL;SQL Server;Windows Server;Natural Language Processing"
"Unreal Engine 4: The Complete Beginner's Course","Learn Video Game Development & How To Design a Game From Scratch Using UE4","Unreal Engine;Game Development Fundamentals;3D Game Development;2D Game Development;Mobile Game Development"
"Become a Blockchain Developer with Ethereum and Solidity","Develop your first decentralized application from scratch on the Ethereum blockchain","BlockChain"
"Master Object Oriented Design in Java - Homework + Solutions","Don't just learn Java! Learn to write practical industry standard object oriented software and super charge your career!","Object Oriented Programming;Java"
"The Complete Python & PostgreSQL Developer Course","Build 9 projects—master two essential and modern technologies in Python and PostgreSQL","Python"
"Spring Framework 5 Masterclass","Spring 5 - brand new content.  Spring MVC, Spring Core, Spring Boot 2, Hibernate, Security, Data, Thymeleaf 3, and more.","Spring Framework;Cyber Security;Network Security"
"Learn and Understand C++","Take this course to learn C++ which you can use for ethical hacking, game development, and most software you use daily!","C++;Ethical Hacking;Game Development Fundamentals;3D Game Development;2D Game Development;Mobile Game Development"
"React Native - The Practical Guide","Use React Native and your React knowledge and take your web development skills to build native iOS and Android Apps","React;React Native;iOS Development;Android Studio;Android Development"
"Accelerated JavaScript Training","Take a deep dive into JavaScript, a Must-Know Language in Web Development, with a Hands-on, Example-driven approach","javaScript;Deep learning;Natural Language Processing"
"Understanding Jira for users, managers and admins","Everything you need to know to get started with Atlassian's powerful agile project management and issue tracker tool.","JIRA;Database Management"
"Learn Devops: Continuously Deliver Better Software","Excel in delivering and deploying software using Git, Vagrant, Chef, Ansible, Jenkins, Docker, and Kubernetes","DevOps;Git;Jenkins;Docker;Kubernetes"
"Introduction to Data Structures & Algorithms in Java","Designed to help understand the fundamentals of DS & Algorithms really well. A must have for programming interviews.","data structures;Algorithms;Java"
"Complete Python Web Course: Build 8 Python Web Apps","Build Python Web Applications from Beginner to Expert using Python and Flask","Python"
"Learn DevOps: Infrastructure Automation With Terraform","Learn how to automate your infrastructure with terraform. Covers Terraform with AWS, Packer, Docker, ECS, EKS, Jenkins","DevOps;Automation;AWS Certification;Amazon AWS;Docker;Jenkins"
"Absolute Introduction to Object Oriented Programming in Java","Prerequisite to "Master Object Oriented Design in Java". ","Object Oriented Programming;Java"
"The Full JavaScript & ES6 Tutorial - (including ES7 & React)","The most in-depth course on ES6 around. Start with JavaScript, deep-dive into ES6, & even more (Webpack, ES7, & React)!","javaScript;React;React Native"
"Learn Python: Python for Beginners","Python introduction for beginners. Learn complete Python from scratch!","Python"
"Web Development w/ Google’s Go (golang) Programming Language","Learn Web Programming from a University Professor in Computer Science with over 15 years of teaching experience.","Natural Language Processing;Computer Vision;Data Science"
"Accelerated ES6 JavaScript Training","Learn and Use the Future of JavaScript - today","javaScript"
"Learn JIRA with real-world examples (+Confluence bonus)","Learn to work on, manage & administer agile projects with this comprehensive course on JIRA Software & Confluence","JIRA;Confluence"
"The Complete Python Masterclass: Learn Python From Scratch","Python course for beginners, Learn Python Programming , Python Web Framework Django, Flask, Web scraping and a lot more.","Python;Django"
"Robot Framework Test Automation - Level 1 ( Selenium )","Fastest & easiest way to do Selenium test automation! Mobile test automation, API test automation, and database too.","Automation;Selenium WebDriver;Selenium Testing Framework;REST API;API Testing;Database Management"
"Complete Java SE 8 Developer Bootcamp - OCA Prep Included","Master the Foundations of Java and the Topics of the Oracle Certified Associate, Java SE 8 Programmer Exam (1Z0-808)","Java;Oracle SQL;Oracle Certification"
"Android N: From Beginner to Paid Professional","Comprehensive Android Nougat app development","Android Studio;Android Development"
"Master Computer Vision™ OpenCV3 in Python & Machine Learning","Learn Computer Vision Concepts by making 12 Projects like Handwriting Recognition, Face Filters, Car & People Detection!","Computer Vision;Python;Machine Learning;Mathematics for Machine Learning;Deep learning"
"Build an app with ASPNET Core and Angular from scratch","A practical example of how to build an application with ASP.NET Core WebAPI (v2.1) and Angular (v6) from start to finish","Angular"
"Become a Good Matlab Programmer in 30 days","This is the last time, you wish you could be a Matlab Programmer.","MATLAB"
"Java Basics: Learn to Code the Right Way","Learn Java Using this Course, Then Move on to Make Desktop, Web and Android Applications!","Java;Android Studio;Android Development"
"Build Responsive Website Using HTML5, CSS3, JS And Bootstrap","Learn HTML5, CSS3, JavaScript, jQuery and Bootstrap framework by building a modern looking responsive website.","Node js;Bootstrap;javaScript"
"Pass the Unity Certified Developer Exam - Lifetime Access","Complete courseware for all levels of experience. Prepare in just one week. Includes 500 practice questions!","Unity"
"Python Network Programming - Part 1: Build 7 Python Apps","Learn Python From Scratch! Go from zero programming to building great network apps with Python. Full Python Apps Inside!","Python"
